r1,r2,support,weight_log1p
P1039,P937,2,1.098612
P1032,P31,13,2.639057
P1032,P112,2,1.098612
P1032,P127,4,1.609438
P1032,P170,4,1.609438
P1032,P178,9,2.302585
P1032,P275,4,1.609438
P1032,P277,2,1.098612
P1032,P306,8,2.197225
P1032,P366,11,2.484907
P1032,P400,2,1.098612
P1032,P1889,5,1.791759
P1032,P2936,2,1.098612
P1032,P6216,3,1.386294
P1032,P279,5,1.791759
P1032,P1365,2,1.098612
P1032,P910,5,1.791759
P1032,P750,2,1.098612
P10308,P1412,237,5.472271
P10308,P106,318,5.765191
P10308,P119,23,3.178054
P10308,P1343,156,5.056246
P10308,P1344,46,3.850148
P10308,P101,39,3.688879
P10308,P108,42,3.761200
P10308,P1196,3,1.386294
P10308,P103,23,3.178054
P10308,P135,6,1.945910
P10308,P1066,3,1.386294
P10308,P1142,8,2.197225
P10308,P102,24,3.218876
P10308,P140,7,2.079442
P10308,P1038,7,2.079442
P10308,P112,2,1.098612
P10308,P136,2,1.098612
P10308,P1399,3,1.386294
P10308,P1416,3,1.386294
P10308,P123,2,1.098612
P10308,P19,212,5.361292
P10308,P21,358,5.883322
P10308,P27,233,5.455321
P10308,P31,372,5.921578
P10308,P20,132,4.890349
P10308,P22,44,3.806662
P10308,P26,42,3.761200
P10308,P25,21,3.091042
P10308,P166,93,4.543295
P10308,P172,4,1.609438
P10308,P1950,4,1.609438
P10308,P3373,21,3.091042
P10308,P1596,2,1.098612
P10308,P3342,3,1.386294
P10308,P185,7,2.079442
P10308,P184,17,2.890372
P10308,P1889,10,2.397895
P10308,P1830,6,1.945910
P10308,P3602,6,1.945910
P10308,P17,3,1.386294
P10308,P2632,2,1.098612
P10308,P69,47,3.871201
P10308,P734,258,5.556828
P10308,P735,299,5.703782
P10308,P39,141,4.955827
P10308,P463,124,4.828314
P10308,P3919,169,5.135798
P10308,P6872,78,4.369448
P10308,P6886,145,4.983607
P10308,P40,39,3.688879
P10308,P509,3,1.386294
P10308,P607,3,1.386294
P10308,P53,6,1.945910
P10308,P451,2,1.098612
P10308,P5008,3,1.386294
P10308,P485,8,2.197225
P10308,P512,24,3.218876
P10308,P551,10,2.397895
P10308,P5021,6,1.945910
P10308,P6379,2,1.098612
P10308,P5769,3,1.386294
P10308,P611,2,1.098612
P10308,P407,3,1.386294
P10308,P495,4,1.609438
P10308,P97,5,1.791759
P10308,P910,5,1.791759
